text,category
"Experienced data scientist with Python, SQL, machine learning, statistics, and dashboard development. Built predictive analytics and NLP projects for business teams.",Data Science
"Machine learning engineer skilled in scikit-learn, pandas, TensorFlow, and deploying models for forecasting and recommendation systems.",Data Science
"Senior Java developer with Spring Boot, REST APIs, microservices, and database integration experience in enterprise applications.",Java Developer
"Backend Java engineer with Maven, Hibernate, unit testing, and CI/CD experience for banking and e-commerce systems.",Java Developer
"Frontend web developer with React, JavaScript, HTML, CSS, and responsive design for customer portals and SaaS products.",Web Development
"Full stack developer experienced in Node.js, Express, React, MongoDB, and building scalable web applications.",Web Development
"Database administrator with PostgreSQL, MySQL, backup and recovery, performance tuning, and security administration.",Database Administrator
"SQL database administrator focused on indexing, query optimization, replication, and high availability for enterprise systems.",Database Administrator
"DevOps engineer experienced with Docker, Kubernetes, Azure, CI/CD, Linux, and infrastructure automation.",DevOps
"Cloud operations engineer with Terraform, Jenkins, Ansible, AWS, and monitoring for production deployments.",DevOps
